quote_id,current_premium,target_premium with e-delivery,policy_term_tenure,source_premium,uncapped percent change,target_premium,Premium for use with LRs,Prior Term Rate Increase Ratio,Rounded Prior Term Rate Increase,,,,
007f4fdd-2e9e-4116-a3ec-a4e0116932f3,1820,"2,799",1,1885,53.79%,2575,2048.913043,,#NAME?,,,,
008173e6-4299-4d26-bfa3-20787a717a56,1298,"1,835",2,1378,41.37%,1835,1378,1.369198312,#NAME?,,,,
0083fcd5-3127-4c13-ae91-eb553af0c5dd,1067,"1,540",2,1102,44.33%,1540,1102,1.043010753,#NAME?,,,,
00a06cbf-16a9-4e6b-9a14-ce7f93cf1f01,938,"1,305",3,912,39.13%,1305,912,0.992592593,#NAME?,,,,
00a3a3be-c105-4f99-b6e0-058a34daf561,1359,"1,721",2,1359,26.64%,1721,1359,1.104895105,#NAME?,,,,
00a5d922-66e0-47ec-9d7a-35671a167c8d,825,"1,299",1,855,57.44%,1195,929.3478261,,#NAME?,,,,
00b3a79a-08e6-4fb9-acc3-78220a527229,1511,"2,231",2,1515,47.65%,2231,1515,1.124255952,#NAME?,,,,
00cb2f5e-c733-4e38-aa1e-c195de2c8268,1869,"1,886",2,1902,0.91%,1886,1902,1.187420584,#NAME?,,,,
00d23c59-a01d-4240-9d5b-c5b0c6661763,584,862,1,605,47.60%,793,657.6086957,,#NAME?,,,,
00d572b0-6f33-465e-9d8a-a471545bb522,1762,"2,364",4,1823,34.17%,2364,1823,1.160737813,#NAME?,,,,
00d90216-48b2-4ab6-951e-2c6d1cb0af5e,2255,"2,862",1,2341,26.92%,2633,2544.565217,,#NAME?,,,,
00d99939-e87d-4fe4-b8e9-64e696b9a0ae,1286,"1,489",5,1624,15.79%,1489,1624,1.137710168,#NAME?,,,,
00f1d3da-a866-41dc-8c53-4c8147f5f3ee,712,811,4,739,13.90%,811,739,1.186369958,#NAME?,,,,
00f830d1-c25c-469b-927e-367e97640ac6,3058,"3,297",1,3058,7.81%,3033,3323.913043,,#NAME?,,,,
00f94673-b2d0-4313-8d7f-ece3e64066bc,1231,"1,475",1,1276,19.82%,1357,1386.956522,,#NAME?,,,,
0106f15a-bf3c-4e86-9ba5-e12c8de426e6,1847,"1,966",3,1909,6.44%,1966,1909,1.121432908,#NAME?,,,,
011a2285-24dd-4cf1-b062-ee930186e5e5,930,"1,718",3,984,84.73%,1718,984,1.189258312,#NAME?,,,,
012b797a-e49f-42d2-bb20-63eecb5abf90,499,891,4,590,78.56%,891,590,1.657807309,#NAME?,,,,
0135b67f-6e0d-404e-a317-9ec4ff243a8d,1588,"2,718",5,2284,71.16%,2718,2284,1.158278629,#NAME?,,,,
01360a1c-15ab-4cb3-bbbf-3bdf748c1ae1,1099,"1,248",1,1099,13.54%,1148,1194.565217,,#NAME?,,,,
013e3975-d83f-4f4b-bfe9-ffdae3e29360,1279,"1,745",5,1355,36.43%,1745,1355,1.246588694,#NAME?,,,,
014009d2-c55f-4c3a-8eff-913ecefd56db,705,922,3,730,30.78%,922,730,1.039823009,#NAME?,,,,
0141eec6-e3cd-4659-8c31-5a7ef555e6a2,1212,"1,589",4,1251,31.11%,1589,1251,0.875090253,#NAME?,,,,
014b83c1-d0a8-4076-bf4d-edf5dfc20528,1552,"1,676",3,1600,7.99%,1676,1600,1.093220339,#NAME?,,,,
014b997a-79f8-4d25-b573-188aada05e51,438,722,4,452,64.84%,722,452,0.779359431,#NAME?,,,,
014c74f2-f774-4a76-8d0a-48ead65e5d43,2845,"3,261",1,2933,14.62%,3000,3188.043478,,#NAME?,,,,
015f7583-a60b-45bd-86de-8d486ebfb106,1071,"1,714",1,1107,60.05%,1577,1203.26087,,#NAME?,,,,
016c309d-54ae-491a-92e0-4d98da26d374,628,930,1,650,48.16%,856,706.5217391,,#NAME?,,,,
016d5eb3-6ca0-4243-9bc0-6a55b16ca2a9,1300,"1,274",2,1300,-2.00%,1274,1300,1.056910569,#NAME?,,,,
01773a73-82da-4218-a851-dab4569a2aa5,1988,"2,438",3,2059,22.64%,2438,2059,0.998502247,#NAME?,,,,
0183e0da-be02-4f7f-9398-f96ef706d326,956,"1,402",1,956,46.67%,1290,1039.130435,,#NAME?,,,,
01848deb-847f-4079-b80d-ffccbe604a01,936,"2,263",1,972,141.78%,2082,1056.521739,,#NAME?,,,,
019a6753-6eb5-4a9a-b655-120e966ef659,1906,"2,482",3,1972,30.22%,2482,1972,1.073198198,#NAME?,,,,
01a6a7ff-9f67-4f37-9dc8-609ce7e125df,817,961,4,842,17.63%,961,842,1.180635838,#NAME?,,,,
01b292db-da2d-4ab8-9ea9-18ae59d7b30f,1058,"2,247",1,2847,112.36%,2067,3094.565217,,#NAME?,,,,
01d3b6cf-43f2-4a76-bb4f-1a0786ef3406,1182,"2,084",1,1185,76.29%,1917,1288.043478,,#NAME?,,,,
01e3de6c-cd1d-41a1-ae58-b4db24f3313d,1000,"1,408",1,1036,40.76%,1295,1126.086957,,#NAME?,,,,
01e5c588-06fd-4ab8-9842-48ab53df16cb,1589,"1,950",1,1589,22.72%,1794,1727.173913,,#NAME?,,,,
02073317-0069-4f89-9ded-f06c513755ce,1100,"1,332",4,1036,21.09%,1332,1036,1.03286385,#NAME?,,,,
021355c8-97e1-4c2a-8aca-5cf8b17097a5,863,"1,358",1,891,57.31%,1249,968.4782609,,#NAME?,,,,
02183d9e-2496-427a-9f79-cfb1a671b296,1395,"2,324",1,1395,66.59%,2138,1516.304348,,#NAME?,,,,
021f0220-b887-460a-b68d-9e7c37b0e769,1994,"4,152",6,2372,108.22%,4152,2372,1.186904762,#NAME?,,,,
02274c63-c918-4fe3-8b1f-4416dbd04ff2,1259,"1,325",3,1191,5.24%,1325,1191,1.316945607,#NAME?,,,,
022b8c51-32e9-41a6-bea3-4c64374522dd,494,821,4,580,66.19%,821,580,1.225806452,#NAME?,,,,
022ebabe-1d2d-4d6b-92e4-de7e3c815c55,998,"1,280",2,998,28.26%,1280,998,1.122609674,#NAME?,,,,
022f77c9-b90f-4d2b-8055-423e27281c3c,2732,"3,825",1,2736,40.01%,3519,2973.913043,,#NAME?,,,,
023353f7-4a9a-4518-bea5-83a2404837ad,1812,"1,934",2,1812,6.73%,1934,1812,1.119209389,#NAME?,,,,
0239365e-7780-4f44-aa99-05907e47055b,491,772,4,509,57.23%,772,509,1.101694915,#NAME?,,,,
023b6f22-81d2-4f5d-bd81-f9e5b5742e33,730,819,2,755,12.19%,819,755,1.320072333,#NAME?,,,,
023b7c53-1b32-466f-961a-7a482317855b,942,"1,217",1,942,29.23%,1120,1023.913043,,#NAME?,,,,
023b9765-58d7-4e49-b285-bbcb8d954c44,613,"1,148",1,613,87.25%,1056,666.3043478,,#NAME?,,,,
024611a0-184c-401b-9589-3412635a7e80,2644,"3,073",6,3294,16.23%,3073,3294,1.216973244,#NAME?,,,,
024dbcf4-1f1a-4542-a7e0-9dd2503e56ed,1507,"1,507",1,1559,-0.03%,1386,1694.565217,,#NAME?,,,,
025043ec-b8bc-4013-a496-be4899e40d31,683,895,1,703,30.98%,823,764.1304348,,#NAME?,,,,
02521634-3dd7-46cd-bafa-96ff82d5ad4e,1081,"1,551",1,1062,43.49%,1427,1154.347826,,#NAME?,,,,
026b4d22-fdf1-4fe4-8cab-8dc8ba153e4d,376,598,6,477,59.04%,598,477,1.193650794,#NAME?,,,,
0274641c-d876-4884-8525-31bd2430cf2d,574,706,3,597,23.00%,706,597,1.114563107,#NAME?,,,,
027a52a2-0fe0-4582-bf52-e01fb1882fb4,1686,"1,863",1,1686,10.50%,1714,1832.608696,,#NAME?,,,,
027e87fa-ab39-4376-95cd-587f6c3a5f5c,1859,"2,201",2,1863,18.40%,2201,1863,1.33304234,#NAME?,,,,
027fefb2-1891-49b4-8f5b-bf978af88931,892,"1,707",2,1114,91.37%,1707,1114,1.279770445,#NAME?,,,,
0280d8c8-a994-4e1d-8c2e-a5799e73816b,1192,"1,843",5,1494,54.61%,1843,1494,1.239085239,#NAME?,,,,
02a4290a-c9c6-4830-9126-5a27fc78a211,505,801,1,522,58.63%,737,567.3913043,,#NAME?,,,,
02b925d4-0fe6-4702-bfef-eca65371535e,1053,"1,336",2,1089,26.88%,1336,1089,1.45441989,#NAME?,,,,
02c3ad83-49e7-4ac8-bf74-813a30b94cb9,648,912,1,648,40.73%,839,704.3478261,,#NAME?,,,,
02c8495e-7665-400f-a81d-7f9b0f7ea247,2008,"2,197",1,2032,9.40%,2021,2208.695652,,#NAME?,,,,
02cf1d36-a887-487e-a08e-0cd8054fb6a7,1355,"1,540",5,1463,13.65%,1540,1463,1.196996466,#NAME?,,,,
02e15312-f96f-4ce2-aa71-e20f1c4a7189,1724,"2,471",1,1781,43.31%,2273,1935.869565,,#NAME?,,,,
02eb440b-a97a-40b6-8aec-76d335fd32cb,1022,"1,701",6,1219,66.44%,1701,1219,1.163546798,#NAME?,,,,
0308018a-379e-44e6-8a66-b8724764ba0b,1419,"1,668",2,1419,17.55%,1668,1419,0.929273084,#NAME?,,,,
030a3159-3523-4c6a-b7dc-327bc717f124,1704,"2,021",1,1704,18.58%,1859,1852.173913,,#NAME?,,,,
030cdb49-cfee-4c10-acdb-e580b12e9900,1243,"1,639",1,1288,31.87%,1508,1400,,#NAME?,,,,
0318782c-c1bc-4e03-856e-5d33be1d4fb9,1986,"2,215",6,2067,11.53%,2215,2067,1.044713309,#NAME?,,,,
031d1ca5-ab15-4442-a585-2bfc08504457,497,811,2,516,63.18%,811,516,1.155813953,#NAME?,,,,
032b649f-a99b-486a-9912-d3352942962f,862,"1,444",4,1027,67.52%,1444,1027,1.20223152,#NAME?,,,,
032d496d-8117-45d8-a0c5-1f14f04164d1,1370,"1,639",4,1421,19.64%,1639,1421,1.077891424,#NAME?,,,,
033e83d7-4a4c-4d80-a403-f398d54c7fb9,865,"2,061",4,1282,138.27%,2061,1282,1.216596343,#NAME?,,,,
0342a5b9-e29e-4586-bed4-dc8fb71bb2d9,1219,"1,810",1,1219,48.46%,1665,1325,,#NAME?,,,,
034b91a2-fb2f-4d39-980f-0084e65ae9a9,2068,"1,460",3,2187,-29.40%,1460,2187,1.156599553,#NAME?,,,,
0356641c-f99e-454b-bcd1-2847f881268f,4537,"4,768",1,4685,5.10%,4387,5092.391304,,#NAME?,,,,
035b1b54-839b-40db-a630-df5bfbf9d112,808,"1,342",3,1062,66.09%,1342,1062,1.212765957,#NAME?,,,,
035d63b9-6d11-47df-a300-76a3befdeb9a,1051,"1,384",1,1085,31.66%,1273,1179.347826,,#NAME?,,,,
036418db-76cf-4ee2-8b84-aa8ab2b3340a,828,"1,374",1,828,65.93%,1264,900,,#NAME?,,,,
036695f7-eab3-4e0b-88d5-b5f372121b66,686,"1,389",5,1017,102.48%,1389,1017,1.247272727,#NAME?,,,,
03737472-724d-4a12-a47b-98aa7c0529db,747,"1,161",1,774,55.40%,1068,841.3043478,,#NAME?,,,,
0382d89f-210a-448a-a581-180269ac5839,393,"1,148",2,645,192.11%,1148,645,1.364583333,#NAME?,,,,
03904d42-5a03-4746-8bcd-4364aa2b6d6f,851,"1,056",5,818,24.09%,1056,818,1.003537736,#NAME?,,,,
0395801b-ed45-44b0-bec3-79d4ca4c0d14,562,722,3,582,28.47%,722,582,0.872670807,#NAME?,,,,
039588d8-5aaf-4e36-a708-5e6098f8c258,963,"1,468",1,993,52.49%,1351,1079.347826,,#NAME?,,,,
039a4d5a-5a05-4768-9fac-7f68eb2f83c1,2059,"2,478",3,2265,20.35%,2478,2265,1.229323308,#NAME?,,,,
03a73f7a-7611-4cce-877b-8ae9f7c8af46,942,"1,006",5,949,6.79%,1006,949,1.029508197,#NAME?,,,,
03acc7df-6335-4006-8e39-8e4f1375b4bd,1407,"1,763",1,1407,25.31%,1622,1529.347826,,#NAME?,,,,
03b3d204-21c2-466c-b7ed-d2ca38204d17,2008,"9,028",1,2008,349.61%,8306,2182.608696,,#NAME?,,,,
03b52f3c-43e2-45a9-b44f-0c0834e07167,1022,"1,401",1,1022,37.09%,1289,1110.869565,,#NAME?,,,,
03c800d7-3114-43ce-bb04-dda67ac14b39,654,788,6,652,20.49%,788,652,0.769411765,#NAME?,,,,
03c8cdf0-c161-4b53-ade6-242ce619be36,2332,"3,080",3,2428,32.08%,3080,2428,1.29844098,#NAME?,,,,
03d8e479-c499-4f8d-ad60-1f524b157d19,371,526,6,389,41.78%,526,389,1.224422442,#NAME?,,,,
03dee17a-d3c9-4822-948f-7d9b39edce85,901,"1,391",1,931,54.42%,1280,1011.956522,,#NAME?,,,,
03e35edb-0415-4350-bd97-f46f259cee79,2356,"2,738",2,2447,16.21%,2738,2447,0.941800753,#NAME?,,,,
03e374ba-f760-4df4-a3e3-540ae59bfeb7,728,"1,113",1,767,52.89%,1024,833.6956522,,#NAME?,,,,
03f01ae7-0734-4662-a550-9cc20c29737e,902,"1,270",3,1066,40.80%,1270,1066,1.215633423,#NAME?,,,,
040292e4-ebf6-4de8-8365-3757d196c27d,525,"1,014",1,541,93.17%,933,588.0434783,,#NAME?,,,,
040b3189-2167-4de0-b871-98bb8d9d4858,911,"1,376",1,944,51.05%,1266,1026.086957,,#NAME?,,,,
041eee37-414e-4962-baad-0207d79a63a1,2790,"3,095",1,2885,10.92%,2847,3135.869565,,#NAME?,,,,
042249b7-1ee1-41d8-8279-b5aa942fe758,6425,"11,947",1,6425,85.94%,10991,6983.695652,,#NAME?,,,,
042b1901-7cc2-4364-8f5d-18c0092db7c3,9212,"9,460",1,9212,2.69%,8703,10013.04348,,#NAME?,,,,
042d371b-5356-4262-b9df-caecd8319cd9,2161,"3,623",2,2232,67.65%,3623,2232,1.229224377,#NAME?,,,,
0430e3ef-42bb-4e6d-809d-0690412a0a2e,604,818,4,614,35.43%,818,614,1.152671756,#NAME?,,,,
0431dc73-dcac-45e5-870e-4b5c6cb1d8f6,1227,"1,646",1,1268,34.12%,1514,1378.26087,,#NAME?,,,,
0449b12a-b9ff-4d9a-aae7-02e9193f06cd,1019,"1,480",1,1019,45.28%,1362,1107.608696,,#NAME?,,,,
0452d3fb-0fbc-497a-96f8-17a3e93a4058,3219,"2,626",1,3227,-18.42%,2416,3507.608696,,#NAME?,,,,
0455eac1-d01b-4560-a754-1bf0eb77f9d0,762,"1,131",4,790,48.43%,1131,790,1.179566563,#NAME?,,,,
045fe6d6-5412-4e07-9da8-00558d15823c,1704,"2,034",3,1768,19.37%,2034,1768,1.040928528,#NAME?,,,,
046dca1f-cd76-4007-a630-b1910ed1a10a,759,"1,080",1,759,42.35%,994,825,,#NAME?,,,,
0479fdb8-0acc-4898-a4ae-7bb81ae18720,884,"1,482",2,940,67.65%,1482,940,1.364197531,#NAME?,,,,
047a1512-8824-4b9f-960a-446e90e67c88,644,916,5,697,42.24%,916,697,0.914772727,#NAME?,,,,
047c8dea-3d43-4234-940e-dead4163066e,875,"1,188",1,875,35.78%,1093,951.0869565,,#NAME?,,,,
04807fcb-37e6-49b9-b277-f1c61ab7b0eb,565,"1,129",1,565,99.88%,1039,614.1304348,,#NAME?,,,,
04883457-29c0-4243-b612-3c23dcf66af2,1070,"1,709",5,1010,59.72%,1709,1010,1.047992165,#NAME?,,,,
048d705b-6bae-47ea-bcdc-4f457eefbb8b,948,"1,345",6,1166,41.88%,1345,1166,1.195714286,#NAME?,,,,
04a0e47e-4f47-4e73-8786-2d4f6c49ada6,459,837,4,474,82.35%,837,474,0.828519856,#NAME?,,,,
04ae6f07-d373-441f-8011-11beb7168d54,1046,"1,482",4,1293,41.68%,1482,1293,1.217694994,#NAME?,,,,
04b16991-f18a-4296-b6ed-c07054c986f0,749,795,4,772,6.14%,795,772,0.989431968,#NAME?,,,,
04b60e54-9782-4ff7-a0f1-0a28968b5813,380,614,3,499,61.58%,614,499,0.994764398,#NAME?,,,,
04c0c77c-b78e-4462-a0f1-3200d2b3e820,899,"1,058",2,928,17.69%,1058,928,0.944327731,#NAME?,,,,
04d1a720-a1d4-4caa-8d5b-391eb1dbbd7f,1671,"2,267",1,1671,35.69%,2086,1816.304348,,#NAME?,,,,
04d30612-5a2e-4d6f-b0d9-c594084ef6ea,794,"1,291",2,821,62.59%,1291,821,1.101248266,#NAME?,,,,
04d731fd-4021-479a-ab62-d753c6eea34c,898,"1,236",3,931,37.64%,1236,931,1.22939424,#NAME?,,,,
04e0132b-3b9a-402e-85c2-131ac6f9117b,2230,"3,305",1,2303,48.23%,3041,2503.26087,,#NAME?,,,,
04e27e4c-bd65-4995-b833-9ca08369c69f,2288,"3,405",1,2288,48.84%,3133,2486.956522,,#NAME?,,,,
04f3ffcd-3c85-47b4-a30a-736539d4dbdd,1672,"2,237",1,1718,33.79%,2058,1867.391304,,#NAME?,,,,
050579d2-8415-47ec-a78d-e0969a21dfa4,871,975,1,902,11.94%,897,980.4347826,,#NAME?,,,,
0506eb4b-c4d3-4b9e-a4bf-36f012273ec2,1168,"1,707",1,1213,46.11%,1570,1318.478261,,#NAME?,,,,
050a539f-cad6-4618-92c1-5af7d380f10c,1115,"1,434",1,1152,28.58%,1319,1252.173913,,#NAME?,,,,
050d2d6f-4e94-426e-b3a9-6024a2207008,1295,"1,663",1,1295,28.42%,1530,1407.608696,,#NAME?,,,,
050f4178-9ba8-43d2-9913-7234ae1d666b,870,"1,028",4,902,18.16%,1028,902,1.030805687,#NAME?,,,,
051d1262-3995-48a2-b237-0da8217eda5c,1094,"1,054",1,1129,-3.62%,970,1227.173913,,#NAME?,,,,
0527a231-0dc8-4034-9c41-9e83ee652b40,289,517,1,289,79.03%,476,314.1304348,,#NAME?,,,,
052b63df-5c8d-40ea-a6d6-642b4d57b4b4,2495,"3,162",1,2575,26.73%,2909,2798.913043,,#NAME?,,,,
05337b28-ca63-4ca6-8e49-93b154bab50f,1506,"2,069",2,1559,37.38%,2069,1559,1.085796683,#NAME?,,,,
053980b9-d837-4cc9-af05-70e055561ca7,2135,"3,707",4,3171,73.63%,3707,3171,1.193565401,#NAME?,,,,
054e50aa-c30a-43f3-9296-922b91ab9ff7,1515,"1,721",5,1570,13.60%,1721,1570,0.981853532,#NAME?,,,,
0562353a-b744-47a7-9adc-838e5d50b058,769,"1,077",1,796,40.07%,991,865.2173913,,#NAME?,,,,
0562e75b-6f45-441c-9d71-fee719461c64,894,"1,256",5,873,40.49%,1256,873,1.07840772,#NAME?,,,,
0578f868-3a51-4f89-8eff-0809e55cd274,879,"1,674",4,1105,90.44%,1674,1105,1.184636119,#NAME?,,,,
057c8c72-d548-473e-a9a8-2740af40f39a,2916,"3,456",4,3142,18.52%,3456,3142,1.156683856,#NAME?,,,,
058135e3-ca00-484d-836d-c5cb0a8ffbc4,1986,"2,184",1,1986,9.95%,2009,2158.695652,,#NAME?,,,,
058cf82a-24f0-4823-9c76-56459d64c187,550,"1,137",1,569,106.72%,1046,618.4782609,,#NAME?,,,,
05906e8b-ff0b-4e44-b7ef-8c0e6c178f84,1314,"1,433",4,1331,9.06%,1433,1331,1.104234528,#NAME?,,,,
059a3f66-6a39-4971-9a2e-7b36ca038141,738,"1,141",1,764,54.65%,1050,830.4347826,,#NAME?,,,,
059f605a-39ee-4b83-ba59-2d3d8ffdaed2,2229,"1,695",2,2304,-23.96%,1695,2304,1.128036437,#NAME?,,,,
05a2d969-043d-43f5-b950-87c64b279937,1144,"1,244",4,1144,8.74%,1244,1144,1.030630631,#NAME?,,,,
05b9be9b-e6a1-42dd-999c-a62a4947c421,806,943,1,806,17.06%,868,876.0869565,,#NAME?,,,,
05c15246-4abf-4fb8-a60b-358d53a101b7,2115,"3,020",5,2469,42.79%,3020,2469,1.183547846,#NAME?,,,,
05d4fcb7-72d2-4baa-b4bc-a044c3c887cd,1629,"1,703",3,1677,4.54%,1703,1677,0.878640777,#NAME?,,,,
05e665dc-e4a7-40bf-be09-c575371fbcd0,900,"1,139",1,929,26.57%,1048,1009.782609,,#NAME?,,,,
05ec314a-0853-4b9c-9bcb-123cb32ac316,1514,"2,157",1,1514,42.44%,1984,1645.652174,,#NAME?,,,,
05f835b5-5140-4cc3-a1d9-de91760b3086,1417,"1,846",1,1417,30.25%,1698,1540.217391,,#NAME?,,,,
05fdce7c-4e7a-45db-8a25-2d9874f12f27,490,667,3,513,36.12%,667,513,1.170781893,#NAME?,,,,
060595ff-1d53-46c4-9bf5-18cb2263a52a,1860,"2,309",1,1918,24.12%,2124,2084.782609,,#NAME?,,,,
0608022d-8002-46ff-b136-003040761c2d,1395,"2,061",2,1447,47.74%,2061,1447,1.018991965,#NAME?,,,,
060cf955-d884-4804-bb98-8eb28fcad1fe,1437,"1,489",2,1485,3.62%,1489,1485,0.779706999,#NAME?,,,,
062fe5b4-f753-43b8-a8f1-5d7cc3d68f3b,689,"1,110",1,689,61.07%,1021,748.9130435,,#NAME?,,,,
06463b98-b94b-4301-a236-3fafc17c4743,2892,"2,354",1,2987,-18.59%,2166,3246.73913,,#NAME?,,,,
064658c3-ac05-410d-8eac-bc512f8e6649,1307,"1,302",2,1307,-0.38%,1302,1307,1.121888412,#NAME?,,,,
064762f7-46dd-44e4-b193-4d8f015fbf48,780,"1,037",1,806,32.94%,954,876.0869565,,#NAME?,,,,
0658ad06-0fc9-4406-a978-06ccc511ae2b,634,"1,174",1,655,85.16%,1080,711.9565217,,#NAME?,,,,
065b02fa-9c4e-4b5c-83c9-d4f64e5f5647,682,"1,393",1,682,104.32%,1282,741.3043478,,#NAME?,,,,
06856c65-f140-43a0-9190-f40f32dbd476,1613,"2,606",4,1654,61.56%,2606,1654,1.012485812,#NAME?,,,,
0689dfc1-738c-4de0-a980-c14d9aff5783,739,"1,100",4,872,48.85%,1100,872,1.190016103,#NAME?,,,,
06927e99-c851-4f77-9e5a-39a2f496f442,1344,"1,911",1,1322,42.18%,1758,1436.956522,,#NAME?,,,,
0694735c-65ea-41c9-93ac-23df909ab522,962,"1,352",1,993,40.56%,1244,1079.347826,,#NAME?,,,,
0699873b-0545-48bc-905e-d298ce1344fb,1314,"1,967",4,1571,49.70%,1967,1571,1.346859366,#NAME?,,,,
06acb0e9-bd22-4bfe-bf01-7d59906a6766,1112,"1,024",2,1112,-7.91%,1024,1112,1.119838872,#NAME?,,,,
06b0a36e-32ba-477a-b850-88ccb658fe2c,1064,"1,712",4,1206,60.90%,1712,1206,1.227332457,#NAME?,,,,
06be95ae-8780-4bbe-b593-7d919b7b51da,677,936,3,771,38.26%,936,771,1.191901408,#NAME?,,,,
06c4a622-44e9-4558-8763-fc2cc1993cac,668,837,6,711,25.30%,837,711,1.2079566,#NAME?,,,,
06c740ea-bbbf-403e-b2bd-74454c0f8188,674,"1,121",6,1161,66.32%,1121,1161,1.241252302,#NAME?,,,,
06c9a092-9b42-4053-9b17-98928301be8d,753,"1,169",6,779,55.25%,1169,779,0.956797967,#NAME?,,,,
06d1967d-babc-4145-8cb1-1264d1043d9b,846,"1,413",1,876,67.03%,1300,952.173913,,#NAME?,,,,
06d42665-dcc0-44b5-a39e-c5e37d962a8a,1008,"1,961",1,1049,94.53%,1804,1140.217391,,#NAME?,,,,
06d7332b-7c2f-4b6c-b178-0f1e2ec20a08,1920,"2,359",1,1990,22.85%,2170,2163.043478,,#NAME?,,,,
06d7f489-29ea-442f-b247-a850bca65a43,842,"1,379",6,1045,63.78%,1379,1045,1.184247539,#NAME?,,,,
06da5559-ae70-4b66-8cc0-44c11fc0284a,1820,"1,948",3,1883,7.03%,1948,1883,0.797546012,#NAME?,,,,
06e7500d-4db8-4532-aedb-22c152630c1f,584,991,1,605,69.74%,912,657.6086957,,#NAME?,,,,
06f1059d-fb96-4afe-a5a6-44f59bd3c44e,845,"1,173",1,845,38.80%,1079,918.4782609,,#NAME?,,,,
06f4e13c-00fa-4b20-ae90-edf4fec16767,383,465,6,396,21.41%,465,396,1.204402516,#NAME?,,,,
06fac025-1daa-43bf-8406-3f490093a3b9,2208,"2,573",2,2208,16.53%,2573,2208,0.945189728,#NAME?,,,,
06fdff94-ff55-4154-8d46-4cc4e4081592,692,940,1,715,35.87%,865,777.173913,,#NAME?,,,,
071311bb-51df-440e-b5b6-3f801c36524b,623,876,1,645,40.62%,806,701.0869565,,#NAME?,,,,
0713adae-5609-4398-bfab-fa27fea99d17,2831,"2,850",3,2921,0.67%,2850,2921,0.887460815,#NAME?,,,,
072f36c2-b81a-4f34-9bd8-ba5ee9c0cddc,1618,"2,219",3,1698,37.14%,2219,1698,1.244995997,#NAME?,,,,
07347a67-a5ee-4e20-9586-505264dcd91c,770,"1,277",5,863,65.84%,1277,863,1.146733668,#NAME?,,,,
07375f0b-7377-4036-bd1f-8290b1e45c22,3225,"1,886",2,3225,-41.52%,1886,3225,1.070717131,#NAME?,,,,
073cca48-c4a3-47c9-aeb3-9435c6b3c505,1155,"1,521",2,1155,31.69%,1521,1155,1.077425373,#NAME?,,,,
0757456a-5ff9-4921-a784-0606496ae4c7,856,"1,135",1,856,32.57%,1044,930.4347826,,#NAME?,,,,
075f412d-3e28-4bfc-901c-043bd7f13fb7,968,"1,191",1,946,23.07%,1096,1028.26087,,#NAME?,,,,
0765eba5-e609-465e-ad3c-85c6e750b40c,776,"1,351",1,776,74.11%,1243,843.4782609,,#NAME?,,,,
07792406-6808-49fa-9c0e-530974e9d0b2,993,"1,287",3,1032,29.61%,1287,1032,1.054140127,#NAME?,,,,
078442a0-7589-4b0c-bf2c-81d492461837,1069,"1,276",2,1105,19.36%,1276,1105,1.172149123,#NAME?,,,,
078892f1-0e08-472f-9f22-e4e416af5b37,1944,"2,233",1,1944,14.85%,2054,2113.043478,,#NAME?,,,,
078eb3ff-1add-4dd7-a9df-406a7e80f4bb,2436,"4,621",6,3052,89.70%,4621,3052,1.091887046,#NAME?,,,,
0791e898-ce9a-4358-98d1-4b6455dd21e8,900,"1,414",2,797,57.11%,1414,797,0.857142857,#NAME?,,,,
